Gm,Date,Tm,H_A,Opp,Result,R,RA,Inn,Record,Rank,GB,Win,Loss,Save,Time,D.N,Attendance,cLI,Streak,Orig_Scheduled,Year
1,"Thursday, Apr 5",NYM,H,ATL,W,1,0,,1-0,1,Tied,Ramirez,Hanson,Francisco,2:39,D,42080,1.09,1,,2012
2,"Saturday, Apr 7",NYM,H,ATL,W,4,2,,2-0,1,Tied,Dickey,Jurrjens,Francisco,2:53,D,39526,1.12,2,,2012
3,"Sunday, Apr 8",NYM,H,ATL,W,7,5,,3-0,1,up 1.0,Niese,Minor,Francisco,2:46,D,27855,1.14,3,,2012
4,"Monday, Apr 9",NYM,H,WSN,W-wo,4,3,,4-0,1,up 2.0,Rauch,Rodriguez,,3:18,N,23970,1.22,4,,2012
5,"Tuesday, Apr 10",NYM,H,WSN,L,2,6,,4-1,1,up 1.0,Detwiler,Gee,,3:22,N,26927,1.23,-1,,2012
6,"Wednesday, Apr 11",NYM,H,WSN,L,0,4,,4-2,1,Tied,Strasburg,Santana,,3:36,D,34614,1.24,-2,,2012
7,"Friday, Apr 13",NYM,A,PHI,W,5,2,,5-2,2,0.5,Dickey,Lee,,2:33,N,45429,1.16,1,,2012
8,"Saturday, Apr 14",NYM,A,PHI,W,5,0,,6-2,2,0.5,Niese,Worley,,2:41,D,45750,1.13,2,,2012
9,"Sunday, Apr 15",NYM,A,PHI,L,2,8,,6-3,2,0.5,Hamels,Ramirez,,3:02,D,45829,1.18,-1,,2012
10,"Monday, Apr 16",NYM,A,ATL,W,6,1,,7-3,2,0.5,Gee,Hanson,,2:24,N,16161,1.19,1,,2012
11,"Tuesday, Apr 17",NYM,A,ATL,L,3,9,,7-4,2,1.5,Delgado,Santana,,2:53,N,18732,1.21,-1,,2012
12,"Wednesday, Apr 18",NYM,A,ATL,L,6,14,,7-5,2,2.5,Martinez,Dickey,,3:17,D,17909,1.18,-2,,2012
13,"Friday, Apr 20",NYM,H,SFG,L,3,4,10,7-6,3,3.0,Romo,Francisco,Hensley,3:41,N,30544,1,-3,,2012
14,"Saturday, Apr 21",NYM,H,SFG,W-wo,5,4,,8-6,3,3.0,Rauch,Hensley,,2:55,D,33844,0.89,1,,2012
15,"Monday, Apr 23 (1)",NYM,H,SFG,L,1,6,,8-7,3,4.0,Lincecum,Batista,,3:12,D,NA,0.95,-1,2012-04-22 (Rain),2012
16,"Monday, Apr 23 (2)",NYM,H,SFG,L,2,7,,8-8,3,4.0,Bumgarner,Gee,,2:50,N,23866,0.94,-2,,2012
17,"Tuesday, Apr 24",NYM,H,MIA,W,2,1,,9-8,3,4.0,Rauch,Mujica,Francisco,2:55,N,20192,0.94,1,,2012
18,"Wednesday, Apr 25",NYM,H,MIA,W,5,1,,10-8,3,4.0,Dickey,Buehrle,,2:29,N,20623,0.98,2,,2012
19,"Thursday, Apr 26",NYM,H,MIA,W-wo,3,2,,11-8,3,3.0,Ramirez,Bell,,2:45,D,20660,0.97,3,,2012
20,"Friday, Apr 27",NYM,A,COL,L,9,18,,11-9,3,3.0,Reynolds,Acosta,,3:47,N,35103,1,-1,,2012
21,"Saturday, Apr 28",NYM,A,COL,W,7,5,,12-9,3,2.0,Gee,Moscoso,Francisco,2:58,N,38798,0.99,1,,2012
22,"Sunday, Apr 29",NYM,A,COL,W,6,5,11,13-9,3,1.0,Francisco,Belisle,Ramirez,4:01,D,36690,1.03,2,,2012
23,"Monday, Apr 30",NYM,A,HOU,L,3,4,,13-10,3,1.5,Rodriguez,Acosta,Myers,2:53,N,17536,1.05,-1,,2012
24,"Tuesday, May 1",NYM,A,HOU,L,3,6,,13-11,3,1.5,Happ,Niese,Myers,2:44,N,17958,1.06,-2,,2012
25,"Wednesday, May 2",NYM,A,HOU,L,1,8,,13-12,3,2.5,Rodriguez,Schwinden,,2:34,D,19442,1.01,-3,,2012
26,"Friday, May 4",NYM,H,ARI,L,4,5,,13-13,3,4.0,Ziegler,Rauch,Putz,3:09,N,26995,0.97,-4,,2012
27,"Saturday, May 5",NYM,H,ARI,W,4,3,,14-13,3,4.0,Santana,Corbin,Francisco,3:12,D,30253,0.9,1,,2012
28,"Sunday, May 6",NYM,H,ARI,W,3,1,,15-13,3,3.0,Dickey,Cahill,Francisco,2:16,D,29107,0.92,2,,2012
